Field1	output_LHBphono_Serena	output_MSFT_IPAphono	output_ortho_Serena	ID	output_MSFT_name	same_ortho	same_phono	same_ortho_space_ignore	same_phono_space_ignore	init_ortho_vs_Serena	init_ortho_vs_MSFT	init_phono_vs_Serena	init_phono_vs_MSFT	init_ortho
0	Can you guide me to the town's end ax bridge? Thanks	Can you guide me to the Townsend Axbridge thanks?	Can you guide me to the Townsend ax Bridge? Thanks	1	Can you guide me to the Townsend Axbridge		yes	yes	yes	yes	yes	yes		Can you guide me to the Townsend (Axbridge)? thanks
1	Please show me the way to Kings Oak Manor thanks	Please share me the way to Kings Oak Manif	Please show me the way to Kings Oak Manor. Thanks	2	Please show me the way to King's Oak Manor			yes		yes	yes		yes	Please show me the way to Kings Oak Manor. thanks
2	How do I get to Lemland's lane? Thanks.	How do I get to Lemland's lane thanks?	How do I get to Liamland's lane? Thanks	3	How do I get to Lemlands Lane thanks		yes		yes					How do I get to Leamlands Lane? thanks
3	Could you provide directions to Elles Island thanks?	Could you provide directions to Olls Island thanks?	Could you provide directions to Olds Island	4	Could you provide directions to Earls Island						yes			Could you provide directions to Earls Island? thanks
4	I need navigation assistance to reach Musket Gardens thanks	I need navigation assistance to reach Musket Gaudence	I need navigation assistance to reach Musket Gardens thanks	5	I need navigation assistance to reach Musket Gardens			yes						I need navigation assistance to reach Muskett Gardens. thanks
5	Help me find my way to Dobson Parkway thanks	Help me find my way to Dobbs Napakway thanks.	Help me find my way to Obson Parkway thanks	6	Help me find my way to Dobson Parkway thanks						yes		yes	Help me find my way to Dobson Parkway. thanks
6	Can you map out the route to Rogers Lane car park? Thanks	Can you map out the route to Rogers Lane Carpark? Thanks	Can you map out the route to Rogers Lane car park? Thanks	7	Can you map out the route to Rogers Lane car park? Thanks.		yes	yes	yes					Can you map out the route to Rodgers Lane Car Park? thanks
7	I'm looking for directions to Manchua thanks.	I'm looking for directions to Manchu walk thanks.	I'm looking for directions to Manchua thanks	8	I'm looking for directions to Manchu walk thanks.									I'm looking for directions to Manchu Wok. thanks
8	Can you assist me in reaching Terrific Street? Thanks	Can you assist me in reaching Trevithik St thanks?	Can you assist me in reaching Travisic Street thanks?	9	Can you assist me in reaching Trevik Street thanks									Can you assist me in reaching Trevithick Street? thanks
9	Guide me to specific mothorp lane thanks.	Guide me 2 specific mothop lane thanks.	Guide me to specific mothorp lane thanks.	10	Guide me to specific Mothorp Blaine thanks.									Guide me to specific Mowthorpe Lane thanks
10	I require directions to Chilcott Avenue thanks	I require directions to Shilkett Avenue	I require directions to Chilcott Avenue thanks	11	I require directions to Chilkat Avenue					yes	yes		yes	I require directions to Chilcott Avenue. thanks
11	I'm trying to reach Hillswood Lane. Can you help? Thanks	I'm trying to reach Hillswood Lane. Can you help? Thanks.	I'm trying to reach Hellswood Lane. Can you help? Thanks.	12	I'm trying to reach Hillswood Lane. Can you help? Thanks.		yes		yes		yes	yes	yes	I'm trying to reach Hillswood Lane. Can you help? thanks
12	Can you plot the course to ballot or thanks	Can you plot the cost to batletal rd thanks	Can you plot the course to ballot or road? Thanks.	13	Can you plot the course to ballot or road thanks?			yes						Can you plot the course to Ballytore Road? thanks
13	Navigate me to Brook Lodge drive thanks	Navigate me to Brook Lodge Drive, Thanks.	Navigate me to Brook Lodge Drive, thanks	14	Navigate me to Brook Lodge Drive		yes	yes	yes	yes	yes	yes	yes	Navigate me to Brooklodge Drive thanks
14	I need to find my way to egg Buckland Vale Primary School. Can you help? Thanks.	I need to find my way to Eggbuckland Vale Primary School. Can you help? Thanks.	I need to find my way to Buckland Vale Primary School. Can you help? Thanks.	15	I need to find my way to Eggbuckland Vale Primary School. Can you help? Thanks.				yes		yes	yes		I need to find my way to Eggbuckland Vale Primary School. Can you help? thanks
15	direct me to Glen Stravin thanks.	Direct me to Glenstriva	Direct me to Glenstriven. Thanks	16	Direct me to Glenstriven			yes		yes	yes			Direct me to Glenstriven thanks
16	Can you lead me to particular port and down thanks?	Can you lead me to particular pot in the down thinks	Can you lead me to particular port and down? Thanks	17	Can you lead me to particular portend down									Can you lead me to particular Porton Down? thanks
17	I'm looking for directions to get to Ireland cinemas. Thanks	I'm looking for directions to get two island cinemas thanks	I'm looking for directions to get to Allen Cinemas. Thanks.	18	I'm looking for directions to get to island cinemas thanks.						yes			I'm looking for directions to get to Island Cinemas. thanks
18	Can you show me the route to surgeons? Thanks	Can you show me the route to surgeons thanks	Can you show me the route to surgeons? Thanks	19	Can you show me the root desurgence thanks?		yes		yes					Can you show me the route to Sergents? thanks
19	I need guidance to reach Clough top road thanks	I need guidance to reach cleftop word thanks.	I need guidance to reach Claftoprobe thanks.	20	I need guidance to reach cloth top road thanks.						yes		yes	I need guidance to reach Clough Top Road. thanks
20	I'm seeking assistance to reach Richard Lee Primary School. Thanks	I'm seeking assistance to reach Richard Lee Primary School	I'm seeking assistance to reach Richard Lee Primary School. Thanks	21	I'm seeking assistance to reach Richard Lee Primary School		yes	yes	yes	yes	yes	yes	yes	I'm seeking assistance to reach Richard Lee Primary School. thanks
21	Assist me in reach and swing a lane. Thanks	Assist me in reaching swing Elaine thanks	Assist me in reach and swing a lane. Thanks	22	Assist me in reaching **** lane thanks.									Assist me in reaching Swinger Lane thanks
22	Can you point me in the right direction for dull vosent? Paul's churchyard. Thanks.	Can you point me in the right direction? Fadal vasnet, pauls, tsia, thanks.	Can you point me in the right direction for Dolvo or St Paul's churchyard? Thanks.	23	Can you point me in the right direction for dull for St Paul's churchyard? Thanks									Can you point me in the right direction for Dolfor Saint Paul's Churchyard? thanks
23	Please guide me to Charles Wood Road using Tomtom. Thanks	Please guide me to Shalwood Rd using Tomtom. Thanks	Please guide me to Charles Wood Road using Tomtom. Thanks	24	Please guide me to Charlewood Rd using Tomtom thanks.									Please guide me to Charlewood Road using TomTom. thanks
24	Help me navigate to Shana Kyle Road thanks.	Help me navigate to Shana Kyle Road thanks.	Help me navigate to Shanaclare Road thanks.	25	Help me navigate to Shawna Kyle Rd thanks.		yes		yes		yes	yes	yes	Help me navigate to Shanakyle Road thanks
